,fold-change Control7 7a72,fold-change Control7 7b72
DUOX1,0.5214559967059841,-0.2550541821965817
ADAR,0.7395647052602498,1.486756809008868
ANXA1,0.4622185958580223,0.8280138423406258
ANXA2,0.49608677155405073,0.8812248865297
BST2,0,inf
CREBBP,0.5529897743013514,0.5573038595678055
DDX58,0.15861609089962103,3.424004177190646
DUOX2,-3.26964850581704,0.8857255492332933
EEF1G,0.8081421442925559,0.5517495742713078
FADD,-0.34860724199923804,0.49754704058221977
GBP1,-0.8870803048365772,3.0931999975743216
GBP2,0.24177119074884348,1.3202424192649584
GBP6,inf,inf
IFI35,0.15141170197700837,2.8576396374357618
IFI44,3.6981919997634236,8.363223207541186
IFI44L,2.310975545020636,8.51744433469394
IFI6,1.2557255363669564,5.302020339686913
IFIH1,1.3544592193635057,3.2622261108974433
IFIT1,0.9091086720020581,8.864092626982158
IFIT2,1.998929380019136,7.418702388933755
IFIT3,2.2921694414696883,7.383390975430522
IFIT5,0.496340822669366,2.6181719112742017
IFITM1,0.4745406416817152,4.873342190703103
IFITM10,-2.1766366196210702,-1.9580284824893919
IFITM2,1.0276602108468307,1.58805884100605
IFITM3,0.764896335266317,3.0422275716100784
IFITM5,,
IFNA1,,
IFNA2,,
IFNAR1,0.5850876479152309,0.9908738371756409
IFNAR2,-0.3571219400308754,1.0735567202954144
IFNB1,0,inf
IFNL1,0,inf
IFNL2,0,inf
IRAK1,1.0914775379658737,0.7873310256497957
IRF1,0.10372712859079859,1.6020873937114057
IRF2,0.8305573096748725,1.042852240974763
IRF2BP1,-0.21743592313475044,-0.14329791859307206
IRF2BP2,0.4517641040862316,0.763186589029731
IRF2BPL,0.6978607234525306,-0.1031762895729157
IRF3,0.6350032866438606,0.5980874615279547
IRF4,,
IRF5,1.4286634671532228,0.1617937013702301
IRF6,0.24550522834487704,1.2995839943591727
IRF7,0.006055223850803284,3.0298870029170346
IRF8,1.0995301004483384,1.0051039837120985
IRF9,0.902410971597629,3.1177431934858646
ISG15,1.6614421728839381,6.521497038067599
KPNA1,1.3458325458896838,0.9539116932635544
KPNB1,0.717244666872161,0.5382932031984734
MAVS,0.26981934550812314,-0.42533342024673965
MX1,0.8838101688990575,5.424717050367168
MX2,0.793501159592621,5.193875230785683
NFKB1,0.8389833563665386,0.9014168402987206
NFKB2,0.358983642421386,0.9916373299348404
NOD2,inf,5.553787145303824
RIPK2,0.861293001518001,0.8197666361962739
NOS1,-1.6409746730768322,-1.4675882581465374
NOS2,-1.2886618922562125,1.2569352475515292
NOS3,2.909162175962161,6.703522228377207
OAS1,-0.42241047893171446,2.0074227569050143
OASL,1.8627944270838754,4.972804253457409
PIAS1,-0.7036971985558944,0.3105411179291677
S100A10,0.49334266956435624,0.6060883615340895
S100A11,0.653149923358561,0.8331407053843685
SOCS3,-3.7366124426458507,-0.3497943375864547
STAT1,0.5422608667627449,2.5573435955410804
STAT2,0.6628430139922217,2.6130848087133027
TRAF3,1.407723586096349,0.6978749597926706
TRAF6,0.671525250795619,0.3503623233126637
TRIM16,1.1065651614013279,1.0412670464704001
TRIM16L,1.32793229238836,-0.3051575878151754
TRIM17,0,0
TRIM2,0.4727729569358219,0.43787325973858476
TRIM21,0.9384766455592413,1.9264493537150778
TRIM22,1.1605693499193384,3.5700955397183325
TRIM23,-1.1057362579148309,1.1678410141477347
TRIM24,0.4541083923651955,0.13816674561244177
TRIM25,0.6541981822437257,0.6859778585737363
TRIM26,0.5414400922672384,0.9359420083857937
TRIM28,0.9553070773128374,0.37887855756476
TRIM29,0.945562833132253,1.4040935976620594
USP18,0.6276078410005137,4.537032780383024
BCL2L11,0.8378762413431795,0.7987966052844869
BID,0.5420591520238994,0.6012249613499195
CASP1,-0.8889021098214205,4.986804252167429
CASP3,0.16618864260202562,0.703483331251292
CASP4,0.5675724092853046,1.0325776808629625
CASP7,-0.04203884099788268,0.7366728366342773
FAS,0.8011716948838068,0.9635311536588692
GADD45B,0.31217332680417187,-0.3636874817966779
ARL6IP1,0.5508148384513963,0.6920639933703999
CFLAR,0.49966994949621624,0.6411677115070281
ACER3,-0.16938872723153897,0.6297267829137387
CASP10,0.5248524036859636,0.7108810705188034
CASP8,0.3398125648955879,0.5973223248386368
APLP2,0.5342711961360492,0.6322542208149917
CALM1,0.4270227449590295,0.5343971627991801
CFB,-0.5085246508080602,1.6229740720806618
DDX5,0.5146623699146581,0.6190169166621275
EDN1,1.4047193924940007,1.2374225037816213
ENO1,0.28195172909472915,0.4382331105055037
F2,,
FLNB,0.47522858418794756,0.3935387325699245
FN1,0,inf
GJA1,,
ITGAM,0,0
LDHA,-0.613740191998289,0.27771872274611425
NLRP6,inf,0
PLAT,inf,0
PLAU,1.3218129211801708,1.6109961786621634
PLG,,
PRSS1,1.5177233791007476,1.7288495322471864
SERPINA1,-0.6689583742317985,0.5769962999183216
SERPINA5,inf,inf
SERPINB2,2.4050910139373762,2.4020218592761586
SERPINB8,0.11431983100794797,1.1911859631936836
SERPIND1,,
SERPINE1,-0.30748678509407334,-1.7318256775427487
SERPINE2,-1.615839846901022,0.700469664358667
SERPINF2,2.2898451724954954,0.8356799647651774
SERPING1,0,0
SIK2,0.3961222250221531,-0.2947709456551235
SOD1,0.49268430024723653,0.8704989135155158
SOD2,0.502568582562747,0.8801948012951416
SOD3,1.0356188165839553,1.5658521872069713
SRC,-0.3619899845793212,0.2650695782570765
VEGFA,-0.47010007917216456,0.27751919620506904
VEGFB,0.921977463604872,0.7840142134284398
VEGFC,,
RUNX1,0.9211307169686838,0.731833658530737
SLC22A4,inf,0.6650925644344879
SLC2A1,-0.31047377852806723,-0.16284155934006495
SLC2A4,-2.946462564384134,-0.667948985296594
SLC4A2,0.979214615330588,0.500088820362018
SLC6A14,0.19491133409490966,0.6927018042006647
MAPK12,inf,inf
PCSK9,0.811169251751395,0.6604989051205886
SLC4A11,0.29154441925398056,0.32025652571966085
ESRRA,1.2707085867045294,1.5915717305133767
EEF1A1,0.7387974969049537,0.742317576485456
BDKRB1,-0.10135212544532789,-0.680613100491335
BDKRB2,0.345851576468436,0.4637607963907741
BATF2,1.00765439377612,4.09609897300746
ZFP36L1,0.5882362426898973,0.5541769266357132
MAPK13,0.34119109877424053,0.597026430324097
S100A14,0.2360195713321797,0.6675770350582101
FGF2,0.6753378951886732,-0.008529740860731739
CTSB,0.13894412115872548,0.34903693069243513
COL5A1,,
COL5A2,-1.1409010702002431,inf
MAPK3,-0.17924498189816684,0.26983149826922037
NLRP12,inf,inf
NLRP3,0,0
KNG1,0,0
SOCS1,-3.0560121737815114,-2.247559851265757
COL4A1,0.9937729477956017,1.268804682265878
COL4A2,0.34989444995823193,0.36198520209025836
SERPINB9,-0.3254692112878465,1.0590499826106616
C3,0.1352134646775085,2.2236145541508074
CSF1,-0.7917170560072826,-0.46852741722910785
CSF1R,,
CSF2,0,inf
CSF2RA,,
CSF2RB,inf,0.27607229575862524
GATA3,inf,-3.5754865220884717
IL17A,,
IL18,0.9178350085119577,0.7057495097264626
IL18BP,inf,inf
IL18R1,0.3110720179231739,0.7849649501858389
IL1B,-1.4916159010098957,1.0571951748093806
IL1RN,0.6097417868760014,1.64644687508835
IL32,-0.6174109551399546,0.9005157623702079
IL6,,
IL6R,-4.3009308796258505,-0.9035288946412345
IL7,inf,4.243139249597949
